100
100
100
15;48
100
25;33
9;35
60;85
90;34
19;61
46;32
93;90
12;78
41;63
53;41
10;83
40;3
65;7
2;83
7;82
7;3
85;21
63;79
57;38
90;24
88;79
37;34
34;89
20;97
57;1
36;62
39;39
36;84
43;37
15;63
62;80
75;2
34;31
83;9
26;31
96;61
24;89
64;69
91;59
37;29
35;48
96;32
40;96
12;42
32;12
84;88
96;73
57;8
76;27
8;99
96;80
26;32
91;55
55;40
75;54
48;46
14;16
80;56
44;71
60;61
42;55
23;22
31;54
56;85
47;7
79;13
40;90
68;77
98;71
47;90
78;46
35;91
47;52
78;62
8;31
99;24
39;58
95;77
69;91
31;95
28;98
27;41
78;39
57;34
17;79
54;79
37;88
44;13
13;94
40;75
81;54
84;75
25;41
85;2
13;32
72;63
57;50
58;7
57;98
37;74
9;97
100
29;28
7;2
16;60
46;43
2;55
10;13
46;72
75;13
53;61
93;97
64;89
34;57
57;67
96;4
75;14
44;16
59;28
58;86
63;59
80;31
15;41
27;4
71;61
34;16
79;47
16;63
81;54
51;10
46;95
31;53
32;34
90;36
43;89
23;50
84;88
74;27
12;15
94;88
93;21
19;52
2;60
85;71
78;96
37;23
86;36
5;56
41;97
69;65
60;84
39;62
5;12
15;48
1;76
48;20
97;30
41;75
38;74
45;93
82;20
91;41
48;75
22;1
26;78
30;19
65;63
63;87
30;82
78;46
41;56
95;9
85;0
86;17
29;18
32;41
73;0
52;98
48;4
71;99
61;22
99;13
58;33
28;73
33;46
27;1
0;24
4;84
46;28
62;13
72;84
50;13
57;46
42;8
67;71
36;2
92;89
21;3
3;7
17;68
4;61
97;36
59;88
100
74;86
9;72
89;15
63;72
5;76
3;5
83;58
7;70
18;19
7;44
6;65
68;68
49;97
6;74
67;39
78;15
40;8
39;34
62;99
9;16
60;96
19;70
4;12
1;96
26;97
99;72
59;62
18;6
85;12
56;96
79;82
23;46
30;34
61;85
17;29
70;25
6;30
61;5
45;76
79;22
61;0
15;99
8;43
17;87
12;78
76;19
69;26
64;45
47;39
75;39
5;39
94;53
1;31
87;25
19;28
62;49
80;57
61;91
52;29
35;31
36;23
11;8
97;8
93;7
53;24
92;67
48;67
44;19
78;42
69;9
2;26
39;20
84;11
93;13
54;85
83;18
57;99
27;5
69;66
28;81
60;8
28;72
58;38
82;55
22;70
51;69
53;84
25;31
21;82
93;81
38;31
39;74
35;4
5;24
46;72
32;26
56;69
34;84
68;29
79;25
4;76
100
8;11
48;47
53;49
69;22
87;93
99;62
47;87
79;89
52;19
62;64
85;79
19;39
61;44
66;76
56;77
73;29
60;59
41;58
39;78
82;98
51;52
21;93
90;4
17;53
53;61
3;67
39;43
19;93
72;52
35;24
67;6
60;40
78;14
42;6
8;54
64;55
83;71
28;13
53;12
40;67
31;74
72;38
85;3
95;19
27;71
62;68
2;56
2;76
37;72
19;77
87;23
36;36
85;13
20;0
35;30
56;54
44;43
13;72
21;7
80;28
2;82
41;7
87;64
49;13
83;16
19;3
48;86
0;36
18;80
87;36
62;41
65;79
77;86
15;92
14;36
44;76
98;54
76;71
21;70
0;94
9;24
50;7
51;11
40;7
5;88
42;12
15;42
0;55
0;59
93;77
8;82
96;63
14;53
92;41
71;76
7;5
70;32
97;21
47;62
60;94
36;56
100
92;67
77;21
5;53
60;52
74;70
8;61
91;86
27;59
73;67
40;0
79;14
66;54
29;91
80;29
74;99
48;51
17;45
79;91
50;67
76;29
93;80
70;1
58;53
15;53
24;7
85;35
52;0
78;36
64;18
28;55
40;11
31;97
37;75
63;26
19;63
74;23
40;66
22;0
88;93
50;44
51;4
26;62
35;73
61;61
41;13
19;22
58;42
87;97
26;65
22;87
92;29
77;10
36;29
54;21
66;45
34;93
7;40
96;58
35;31
32;45
89;93
42;0
86;34
79;13
97;18
31;94
7;55
38;5
22;18
98;88
71;64
80;36
23;18
82;46
39;72
86;47
78;95
6;9
37;14
43;5
35;95
25;90
97;82
62;19
65;51
97;26
92;27
88;85
12;3
86;13
34;14
97;89
49;2
32;59
14;85
30;13
50;23
22;11
89;24
76;92
73;96
100
15;56
42;59
37;85
19;43
12;17
38;0
31;44
14;80
14;15
68;98
8;1
32;82
16;24
49;5
74;63
48;73
71;57
63;92
99;52
12;80
83;6
25;39
8;8
70;54
74;32
37;33
34;89
85;91
41;52
29;32
25;1
72;38
15;72
35;78
94;43
23;39
80;99
54;10
89;81
16;36
99;58
0;81
33;44
76;15
35;44
43;74
90;40
37;39
28;33
25;24
17;70
57;71
52;18
36;14
87;21
31;65
49;48
7;23
44;1
80;52
83;24
21;77
40;90
12;32
70;17
12;33
94;80
47;74
56;96
51;2
65;28
33;78
16;34
91;8
16;48
50;89
9;94
16;95
12;0
49;7
13;69
3;7
26;70
69;36
64;48
2;62
85;70
74;49
79;53
68;80
57;5
9;23
28;27
29;10
12;67
84;97
38;98
40;84
22;9
59;29
57;95
100
88;18
94;15
1;54
92;6
31;35
50;74
75;26
80;60
85;24
35;23
37;44
73;86
76;35
82;29
34;68
43;61
34;49
44;30
81;10
78;19
99;92
19;38
37;89
71;31
21;9
3;20
26;68
77;95
32;46
29;68
16;93
77;65
10;1
86;63
6;60
64;2
94;25
29;37
88;31
66;92
60;36
9;58
87;74
95;40
46;16
34;44
55;43
94;1
26;95
56;57
60;17
2;70
61;96
24;13
64;43
66;16
31;17
96;16
66;49
54;77
69;86
37;75
6;57
66;88
27;7
38;79
28;34
40;80
28;16
83;97
33;18
57;74
67;93
68;0
